City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Danane,9,CI,1579454022,21,7.26,-8.15,84.76,2.77
Qaqortoq,27,GL,1579454022,41,60.72,-46.03,19.4,5.82
Kisangani,75,CD,1579453858,67,0.52,25.2,78.39,1.39
Kirakira,13,SB,1579454022,83,-10.45,161.92,75.74,4.21
Albany,90,US,1579454022,74,42.6,-73.97,39.0,20.8
Saint-Francois,75,FR,1579454023,69,46.42,3.91,39.0,10.29
Uige,81,AO,1579454023,95,-7.61,15.06,70.09,1.25
Progreso,75,MX,1579454023,65,21.28,-89.67,82.0,4.7
Grindavik,75,IS,1579454023,87,63.84,-22.43,42.8,33.33
Hermanus,100,ZA,1579454023,98,-34.42,19.23,66.99,8.01
Olafsvik,81,IS,1579454023,75,64.89,-23.71,40.17,34.25
Alta Floresta,40,BR,1579454023,63,-9.88,-56.09,91.4,3.36
Khatanga,100,RU,1579454024,98,71.97,102.5,-23.17,4.63
Bredasdorp,100,ZA,1579454024,82,-34.53,20.04,64.4,19.46
Tabuk,42,PH,1579454024,92,17.42,121.44,67.71,2.8
Chui,24,UY,1579453880,42,-33.7,-53.46,84.76,7.05
Ushuaia,75,AR,1579454024,71,-54.8,-68.3,50.0,27.51
Buala,16,SB,1579454024,84,-8.14,159.59,78.71,7.45
Matay,2,EG,1579454024,59,28.42,30.78,49.15,5.79
Camacha,75,PT,1579454024,82,33.08,-16.33,66.2,13.87
Hirson,2,FR,1579454025,86,49.92,4.08,41.0,8.05
Clyde River,20,CA,1579454025,67,70.47,-68.59,-22.0,10.29
Laguna,90,US,1579454025,87,38.42,-121.42,43.0,4.09
Ahipara,0,NZ,1579454025,100,-35.17,173.17,60.01,3.0
Hobart,75,AU,1579454025,76,-42.88,147.33,59.0,1.66
Rio Gallegos,20,AR,1579454025,25,-51.62,-69.22,64.4,38.03
Los Llanos de Aridane,76,ES,1579454025,68,28.66,-17.92,69.01,11.41
Thompson,20,CA,1579453827,82,55.74,-97.86,-16.6,6.93
Juneau,90,US,1579454026,85,58.3,-134.42,26.6,6.49
Geraldton,75,AU,1579454026,68,-28.77,114.6,71.6,20.8
Honiara,20,SB,1579454026,94,-9.43,159.95,75.2,3.36
Hambantota,39,LK,1579454026,81,6.12,81.12,80.87,21.7
Nelson Bay,75,AU,1579454026,94,-32.72,152.15,71.01,6.93
Ereymentau,99,KZ,1579454026,99,51.62,73.1,0.14,1.39
Vaini,40,TO,1579454026,88,-21.2,-175.2,77.0,6.93
Hong Kong,40,HK,1579454002,72,22.29,114.16,62.01,5.82
Cabo San Lucas,5,MX,1579453901,60,22.89,-109.91,75.0,5.23
Kahului,40,US,1579454027,64,20.89,-156.47,69.8,6.93
Arraial do Cabo,40,BR,1579454027,65,-22.97,-42.03,82.4,9.17
Kudahuvadhoo,59,MV,1579454027,79,2.67,72.89,83.01,13.71
Okhotsk,0,RU,1579454027,69,59.38,143.3,-21.35,7.67
Caravelas,66,BR,1579454027,79,-17.71,-39.25,80.46,10.2
Kang,49,BW,1579454027,34,-23.68,22.79,83.34,5.06
San Fernando,40,PH,1579454028,83,15.03,120.69,78.8,4.7
Beira,98,MZ,1579454028,77,-19.84,34.84,84.87,15.88
Kapaa,40,US,1579454028,77,22.08,-159.32,73.4,9.01
Tuktoyaktuk,5,CA,1579454028,68,69.45,-133.04,-18.4,8.05
Bethel,75,US,1579454028,59,41.37,-73.41,45.0,16.11
Tasiilaq,100,GL,1579454028,92,65.61,-37.64,30.2,23.04
Saskylakh,99,RU,1579454028,97,71.92,114.08,-20.34,3.98
Mallaig,64,CA,1579454028,92,54.22,-111.37,-7.64,12.84
Sfantu Gheorghe,0,RO,1579454028,80,45.87,25.78,28.99,1.99
Port Elizabeth,90,ZA,1579454029,68,-33.92,25.57,66.2,17.22
Nikolskoye,90,RU,1579454029,80,59.7,30.79,37.4,20.13
Barrow,90,US,1579454029,84,71.29,-156.79,3.2,3.36
Koslan,100,RU,1579454029,93,63.46,48.9,4.53,8.03
Quatre Cocos,75,MU,1579454029,88,-20.21,57.76,81.0,3.36
Hibbing,75,US,1579454029,78,47.43,-92.94,12.2,6.93
Jamestown,90,US,1579454029,92,42.1,-79.24,23.0,19.46
Lavrentiya,100,RU,1579454029,96,65.58,-171.0,5.18,8.46
Lamu,50,KE,1579454030,81,-2.27,40.9,81.5,19.08
Havre-Saint-Pierre,90,CA,1579454030,77,50.23,-63.6,6.8,13.87
Rorvik,40,NO,1579454030,65,64.86,11.24,41.0,13.87
Makakilo City,75,US,1579454030,72,21.35,-158.09,72.0,3.36
Qaanaaq,0,GL,1579454030,62,77.48,-69.36,-17.25,7.02
'Ewa Beach,75,US,1579454030,60,21.32,-158.01,72.0,11.41
Tizimin,5,MX,1579454030,58,21.15,-88.15,82.4,9.17
Aksay,40,RU,1579454030,79,47.26,39.87,28.4,6.71
Cape Town,75,ZA,1579454031,68,-33.93,18.42,71.01,21.92
Provideniya,100,RU,1579454031,96,64.38,-173.3,0.41,9.4
Lompoc,90,US,1579454031,61,34.64,-120.46,59.0,8.05
Palmer,40,US,1579454031,60,42.16,-72.33,41.0,11.41
Longyearbyen,90,SJ,1579453868,86,78.22,15.64,28.4,19.46
Port Hardy,75,CA,1579454031,93,50.7,-127.42,44.6,21.92
Beidao,44,CN,1579454031,45,34.57,105.89,27.03,1.07
San Andres,75,CO,1579454031,70,12.58,-81.7,84.2,19.46
Nouakchott,0,MR,1579454032,10,18.09,-15.98,87.8,11.41
Kaitangata,83,NZ,1579454032,96,-46.28,169.85,55.0,5.99
Raudeberg,75,NO,1579454032,86,61.99,5.14,43.0,12.75
Pagani,40,IT,1579454032,54,40.75,14.61,54.0,8.05
Severo-Kuril'sk,7,RU,1579454032,78,50.68,156.12,8.91,5.59
Camabatela,100,AO,1579454032,97,-8.19,15.38,65.62,4.21
Tura,50,IN,1579454033,74,25.52,90.22,61.18,1.36
Naze,90,JP,1579454033,63,28.37,129.48,60.8,13.87
Ambon,74,ID,1579454033,80,-3.7,128.18,81.0,13.0
Greystones,52,IE,1579454033,73,53.14,-6.06,42.8,5.82
Zhanaozen,81,KZ,1579454033,93,43.3,52.8,27.32,8.88
Lorengau,21,PG,1579454033,76,-2.02,147.27,83.62,18.95
Kodiak,75,US,1579454031,68,57.79,-152.41,30.2,18.34
Baykit,100,RU,1579454034,98,61.67,96.37,-1.66,1.92
Hamilton,90,US,1579453772,61,39.18,-84.53,19.99,11.41
Nanortalik,96,GL,1579454034,56,60.14,-45.24,25.75,20.76
Tabas,54,IR,1579454034,71,33.6,56.92,50.0,6.93
Senneterre,40,CA,1579454034,77,48.38,-77.23,1.4,10.29
Bathsheba,20,BB,1579454034,51,13.22,-59.52,84.2,27.51
Cabedelo,40,BR,1579454034,52,-6.98,-34.83,87.8,17.22
Chapayevka,0,UA,1579454034,82,47.47,36.35,28.69,6.69
Aban,100,RU,1579454035,90,56.67,96.06,18.19,17.67
Teya,100,RU,1579454035,97,60.38,92.63,0.27,4.16
Norman Wells,20,CA,1579454035,69,65.28,-126.83,-9.4,10.29
Sambava,100,MG,1579454035,97,-14.27,50.17,75.31,2.04
Atasu,100,KZ,1579454035,92,48.68,71.64,13.19,6.17
Luderitz,0,NA,1579454035,56,-26.65,15.16,73.4,21.92
Sawtell,40,AU,1579454035,83,-30.38,153.1,77.0,14.99
Baoying,100,CN,1579454035,99,33.23,119.31,46.0,1.99
Muli,61,MV,1579454036,79,2.92,73.57,82.11,12.73
Woodbury,1,US,1579454036,64,42.38,-96.03,1.4,17.22
Araouane,0,ML,1579454036,15,18.9,-3.53,70.25,5.97
Vao,7,NC,1579454036,74,-22.67,167.48,75.07,14.27
San Buenaventura,90,MX,1579454036,61,27.08,-101.53,50.0,9.33
Leningradskiy,100,RU,1579454036,99,69.38,178.42,-6.72,10.02
Souillac,75,MU,1579454036,88,-20.52,57.52,81.0,3.36
Saldanha,77,ZA,1579454037,44,-33.01,17.94,77.0,18.34
Cervo,7,ES,1579454037,61,43.67,-7.41,51.01,13.0
Olinda,20,BR,1579454037,62,-8.01,-34.86,86.0,11.41
Talaya,100,RU,1579454037,100,61.38,152.75,-28.89,0.6
Mercedes,39,AR,1579454037,54,-34.65,-59.43,91.99,4.0
Yellowknife,5,CA,1579454037,74,62.46,-114.35,-22.0,8.05
Santa Cruz de Tenerife,72,ES,1579454037,67,28.47,-16.25,71.01,8.05
Te Anau,69,NZ,1579454037,96,-45.42,167.72,54.09,1.41
Berlevag,0,NO,1579454037,71,70.86,29.09,23.0,16.11
Monte Alegre,100,BR,1579454038,65,-2.01,-54.07,87.46,1.21
Dawei,46,MM,1579454038,65,14.08,98.2,80.37,3.29
Maun,20,BW,1579454038,34,-19.98,23.42,93.2,1.12
Mezen,16,RU,1579454038,82,65.85,44.24,2.82,10.29
Nhulunbuy,40,AU,1579454038,79,-12.23,136.77,84.2,8.05
Dikson,81,RU,1579454038,90,73.51,80.55,-19.12,8.55
Mankono,0,CI,1579454038,15,8.06,-6.19,89.47,3.13
Kathu,20,TH,1579454039,83,7.92,98.33,78.8,3.36
Kingsport,20,US,1579453780,51,36.55,-82.56,37.0,8.05
Dingle,64,PH,1579454039,94,11.0,122.67,73.36,10.94
Bluff,98,NZ,1579454026,97,-46.6,168.33,54.0,1.99
Port Alfred,100,ZA,1579454039,82,-33.59,26.89,66.99,8.99
Torquay,0,GB,1579454039,8,50.46,-3.51,41.0,6.67
Quelimane,75,MZ,1579454039,79,-17.88,36.89,89.6,8.05
Taft,40,IR,1579454040,52,31.75,54.21,46.4,6.93
Jackson,90,US,1579454040,93,42.42,-122.83,37.4,2.24
Alofi,100,NU,1579453908,94,-19.06,-169.92,77.0,6.93
Guerrero Negro,0,MX,1579454040,28,27.98,-114.06,66.58,2.77
Katsuura,18,JP,1579454040,81,35.13,140.3,51.01,6.93
Padang,94,ID,1579454040,95,-0.95,100.35,69.26,3.96
Rakiv Lis,15,UA,1579454040,91,51.62,24.92,30.06,2.64
Torbay,75,CA,1579454040,66,47.67,-52.73,17.01,11.41
Ancud,0,CL,1579454040,55,-41.87,-73.82,62.6,13.87
Pitimbu,40,BR,1579454041,52,-7.47,-34.81,87.8,17.22
Miraflores,90,MX,1579454041,71,19.22,-98.81,71.6,6.93
Chowchilla,90,US,1579454041,87,37.12,-120.26,51.01,3.27
Arlit,0,NE,1579454041,16,18.74,7.39,70.54,7.72
Beisfjord,90,NO,1579454041,74,68.38,17.6,34.0,14.99
Ouango,100,CF,1579453865,26,4.31,22.56,78.91,1.92
Mutoko,100,ZW,1579454041,88,-17.4,32.23,70.77,4.29
Talnakh,75,RU,1579454042,82,69.49,88.4,-20.2,8.95
Tocopilla,100,CL,1579454042,32,-22.09,-70.2,77.49,11.79
Balkhash,100,KZ,1579454042,78,46.84,74.98,15.91,1.52
Rincon,90,US,1579453984,82,32.3,-81.24,62.01,12.75
Borovoy,40,RU,1579454042,77,55.43,86.08,6.8,11.18
Riyadh,25,SA,1579453808,42,24.69,46.72,64.4,6.93
Pagegiai,76,LT,1579454043,95,55.14,21.91,36.9,7.56
Polunochnoye,0,RU,1579454043,87,60.87,60.42,-3.55,1.77
Kavieng,29,PG,1579454043,75,-2.57,150.8,84.07,21.21
Mogadishu,29,SO,1579453798,79,2.04,45.34,80.24,26.33
Manggar,87,ID,1579454043,75,-2.88,108.27,81.91,5.12
Karratha,17,AU,1579454044,79,-20.74,116.85,84.58,14.34
Laas,36,IT,1579454044,24,46.62,10.7,42.8,5.82
Puerto Ayora,75,EC,1579454044,66,-0.74,-90.35,84.2,16.11
Hasaki,20,JP,1579454044,86,35.73,140.83,37.4,1.12
Bousse,3,BF,1579454044,15,12.66,-1.89,87.8,5.82
Ostrovnoy,0,RU,1579454045,83,68.05,39.51,7.47,9.48
Vila do Conde,0,PT,1579454045,47,41.35,-8.74,61.0,16.11
Otradnoye,90,RU,1579454045,80,59.78,30.82,37.4,20.13
Margate,2,GB,1579454045,80,51.38,1.39,44.01,3.36
Pacifica,75,US,1579454045,70,37.61,-122.49,51.01,9.17
Cayenne,75,GF,1579454046,83,4.93,-52.33,82.4,8.05
Puro,26,PH,1579454046,85,12.48,123.38,76.87,14.34
Dickson,1,US,1579453845,45,36.08,-87.39,37.0,16.11
Marsh Harbour,63,BS,1579454046,70,26.54,-77.06,73.72,13.89
Muisne,75,EC,1579454046,100,0.6,-80.03,78.8,6.93
Ust-Nera,100,RU,1579454046,100,64.57,143.2,-45.35,2.17
Namatanai,70,PG,1579454046,77,-3.67,152.43,82.33,9.08
Nuuk,100,GL,1579454046,78,64.18,-51.72,15.8,3.36
Saint-Pierre,92,RE,1579454046,83,-21.34,55.48,80.6,2.24
Verkhovazhye,100,RU,1579454047,97,60.75,42.05,32.45,7.99
Katangli,41,RU,1579454047,95,51.71,143.23,-4.86,3.87
Persianovskiy,40,RU,1579454047,79,47.51,40.11,28.4,6.71
Sembe,90,CG,1579454047,67,1.65,14.58,76.51,1.1
Carnarvon,0,AU,1579454047,74,-24.87,113.63,78.8,19.46
Mandalgovi,0,MN,1579454047,76,45.76,106.27,1.45,11.34
Ghugus,47,IN,1579454048,60,19.93,79.13,71.71,5.17
Tiarei,40,PF,1579454048,78,-17.53,-149.33,80.01,2.24
Luau,55,AO,1579454048,91,-10.71,22.22,68.2,4.72
Rach Gia,20,VN,1579454045,83,10.02,105.08,77.0,9.17
Karibib,0,NA,1579454048,35,-21.93,15.83,71.44,14.38
Pevek,100,RU,1579454048,98,69.7,170.31,-4.74,6.58
Cidreira,0,BR,1579454049,80,-30.18,-50.21,74.97,23.2
Khovd,100,MN,1579454049,61,48.01,91.64,8.4,5.1
Salalah,20,OM,1579453854,60,17.02,54.09,75.2,4.7
Avarua,100,CK,1579454049,88,-21.21,-159.78,77.0,13.87
Faanui,80,PF,1579454049,81,-16.48,-151.75,80.98,12.1
The Valley,75,AI,1579453967,65,18.22,-63.06,80.6,18.34
Campohermoso,75,ES,1579454049,71,36.94,-2.13,55.99,6.93
Jieshi,0,CN,1579454049,71,22.81,115.83,57.99,1.01
Kavaratti,77,IN,1579454049,80,10.57,72.64,81.23,13.22
Kargil,51,IN,1579454050,97,34.57,76.1,-21.12,1.23
Roebourne,88,AU,1579454050,52,-20.78,117.13,86.63,5.99
Abu Kamal,67,SY,1579454050,56,34.45,40.92,55.99,9.66
Boa Vista,75,BR,1579454050,43,2.82,-60.67,91.4,18.34
Anshun,64,CN,1579454050,75,26.25,105.93,43.3,3.71
San Juan,37,AR,1579453843,21,-31.54,-68.54,98.46,5.91
Praia,8,CV,1579453845,32,14.92,-23.51,84.2,11.41
Superior,90,US,1579454050,66,46.72,-92.1,18.0,8.05
Shingu,7,JP,1579454050,70,33.73,135.98,47.17,8.03
Susanville,1,US,1579454051,92,40.42,-120.65,24.01,3.36
Sitka,90,US,1579454051,74,57.05,-135.33,37.4,20.8
Fukuecho,90,JP,1579454051,57,32.69,128.84,51.8,13.87
Ninh Binh,99,VN,1579454051,76,20.25,105.97,60.28,5.84
Pacific Grove,1,US,1579454051,75,36.62,-121.92,51.01,16.11
Isnos,99,CO,1579454051,94,1.94,-76.24,63.95,4.34
Samarai,96,PG,1579454051,82,-10.62,150.67,77.5,3.53
Karimnagar,19,IN,1579454052,69,18.43,79.15,70.77,2.08
Chokurdakh,98,RU,1579454052,100,70.63,147.92,-29.56,1.86
Mehamn,23,NO,1579454052,79,71.04,27.85,26.6,20.8
Iqaluit,75,CA,1579454052,64,63.75,-68.51,-4.0,9.17
Lagoa,41,PT,1579454053,80,39.05,-27.98,63.16,27.67
Barra do Garcas,75,BR,1579454050,62,-15.89,-52.26,87.8,11.41
Narsaq,14,GL,1579454053,41,60.92,-46.05,19.4,5.82
Bhadrak,0,IN,1579454053,61,21.06,86.51,68.49,2.04
Grand Gaube,75,MU,1579454053,88,-20.01,57.66,81.0,3.36
Bubaque,7,GW,1579454053,55,11.28,-15.83,79.21,11.01
Korla,3,CN,1579454053,82,41.76,86.15,11.48,7.83
Pangkalanbuun,69,ID,1579454053,95,-2.68,111.62,75.24,1.72
Weyler,64,PH,1579454054,84,12.19,124.4,77.65,14.29
Ayacucho,75,PE,1579454054,48,-13.16,-74.22,66.2,4.7
Codrington,100,AU,1579454054,88,-38.27,141.97,60.22,25.12
Huron,90,US,1579454054,78,41.15,-82.55,16.0,17.96
Changde,0,CN,1579454054,75,29.05,111.68,41.95,1.86
Port Blair,32,IN,1579454054,75,11.67,92.75,81.0,12.8
Manta,75,EC,1579453854,70,-0.95,-80.73,84.2,6.93
Yar-Sale,75,RU,1579454055,96,66.83,70.83,-9.53,11.45
Chumikan,0,RU,1579454055,89,54.72,135.31,-8.37,5.01
Nurota,99,UZ,1579454055,84,40.56,65.69,32.0,6.93
Praia,8,CV,1579454055,42,14.92,-23.51,82.4,12.75
Longyan,44,CN,1579454055,86,25.11,117.02,43.61,2.19
Pasighat,78,IN,1579454055,94,28.07,95.33,58.96,3.51
Touros,40,BR,1579454055,58,-5.2,-35.46,86.0,14.99
Marawi,24,PH,1579454055,86,8.0,124.29,77.0,3.0
Ljungby,0,SE,1579454055,89,56.83,13.94,37.4,3.36
Athens,40,GR,1579453921,76,37.98,23.72,48.2,6.93
Marathon,90,US,1579454056,79,44.9,-89.77,21.2,9.17
Atikokan,100,CA,1579454056,89,48.76,-91.62,11.91,3.65
Mahebourg,75,MU,1579454056,88,-20.41,57.7,81.0,3.36
Pimenta Bueno,68,BR,1579454056,59,-11.67,-61.19,89.91,4.34
Khategaon,21,IN,1579454056,51,22.6,76.92,57.15,7.18
Pinawa,100,CA,1579454056,91,50.15,-95.88,7.95,5.64
Kawardha,32,IN,1579454056,66,22.02,81.25,60.96,6.55
Honningsvag,20,NO,1579454057,79,70.98,25.97,26.6,29.97
Petropavlovsk-Kamchatsky,8,RU,1579454057,77,53.05,158.65,-0.4,11.18
Cooma,90,AU,1579454057,100,-36.23,149.13,57.2,5.82
Fare,78,PF,1579454057,81,-16.7,-151.02,80.82,12.75
Roald,40,NO,1579454057,70,62.58,6.13,44.01,18.34
Barcelona,40,ES,1579454057,23,41.39,2.16,53.01,31.09
Pisco,75,PE,1579454057,30,-13.7,-76.22,73.99,9.17
Harper,83,LR,1579454058,79,4.38,-7.72,81.3,5.3
Altay,100,CN,1579454058,86,47.87,88.12,11.12,2.95
Radnevo,90,BG,1579453822,65,42.3,25.93,41.0,9.17
College,1,US,1579454058,73,64.86,-147.8,-23.8,1.54
Kommunisticheskiy,22,RU,1579454058,97,61.68,64.48,-4.07,5.55
Gamba,66,GA,1579454058,74,-2.65,10.0,80.53,4.07
Peniche,20,PT,1579453899,54,39.36,-9.38,60.8,16.11
Fairbanks,1,US,1579453832,73,64.84,-147.72,-23.8,1.95
Fayaoue,3,NC,1579454058,74,-20.65,166.53,77.67,11.65
Hualmay,8,PE,1579454059,57,-11.1,-77.61,80.11,12.17
Arrondissement de Langres,63,FR,1579454059,87,47.83,5.33,39.2,12.75
Sinnamary,18,GF,1579454059,82,5.38,-52.95,79.36,17.29
Dig,0,IN,1579454059,57,27.47,77.33,48.7,3.87
Bengkulu,100,ID,1579454059,91,-3.8,102.27,74.52,2.95
Melfi,75,IT,1579454060,70,41.0,15.65,48.2,9.17
Mount Pleasant,90,US,1579454060,87,32.79,-79.86,61.0,10.65
Macao,40,MO,1579453910,77,22.2,113.55,61.0,14.99
Tall Kayf,75,TR,1579454060,93,37.08,41.07,44.6,4.7
Sept-Iles,90,CA,1579454060,70,50.2,-66.38,7.0,12.75
Tyukhtet,100,RU,1579454060,92,56.54,89.3,2.7,11.3
Linares,39,CL,1579454060,12,-35.85,-71.6,100.49,5.57
Puerto Quijarro,47,BO,1579453864,40,-17.78,-57.77,98.53,3.13
Taoudenni,0,ML,1579454061,18,22.68,-3.98,65.82,4.25
Aasiaat,100,GL,1579454061,87,68.71,-52.87,3.4,8.57
Port Augusta,90,AU,1579454061,82,-32.5,137.77,62.6,10.29
Mareeba,88,AU,1579454061,83,-17.0,145.43,78.8,5.82
Pailon,75,BO,1579454061,59,-17.65,-62.75,91.4,13.87
Kattivakkam,20,IN,1579454061,74,13.22,80.32,78.8,4.7
Rafai,64,CF,1579454061,27,4.95,23.92,76.71,2.33
Erdenet,82,MN,1579454061,75,49.03,104.08,-4.59,5.59
Camana,93,PE,1579454062,71,-16.62,-72.71,72.9,12.28
La Ronge,5,CA,1579454062,75,55.1,-105.28,-18.4,3.13
Cabra,65,ES,1579454062,50,37.47,-4.44,53.6,12.75
Constitucion,30,CL,1579454062,60,-35.33,-72.42,68.45,5.55
Yagoua,0,CM,1579454062,21,10.34,15.23,79.32,10.16
Ati,0,TD,1579454062,21,13.22,18.34,75.76,10.47
Balikpapan,40,ID,1579453776,88,-1.27,116.83,80.6,2.24
Ranfurly,63,NZ,1579454062,95,-45.13,170.1,55.99,0.43
Waipawa,77,NZ,1579454063,100,-41.41,175.52,64.0,12.75
Saint George,1,US,1579454063,64,37.1,-113.58,51.8,6.93
Agua Prieta,1,MX,1579454063,39,31.3,-109.57,59.0,4.97
Kitale,0,KE,1579454063,62,1.02,35.01,62.42,1.81
Sainte-Maxime,100,FR,1579454063,93,43.3,6.63,53.01,4.16
Krasnosel'kup,100,RU,1579454063,98,65.7,82.47,-7.71,9.55
Kruisfontein,100,ZA,1579454064,83,-34.0,24.73,61.88,21.43
Manaure,20,CO,1579454064,49,11.78,-72.44,89.6,20.8
Bilma,0,NE,1579454064,28,18.69,12.92,63.82,7.25
Yiyang,0,CN,1579454064,77,28.59,112.33,42.4,2.21
Belaya Gora,98,RU,1579454064,97,68.53,146.42,-24.65,3.13
Aklavik,5,CA,1579454064,74,68.22,-135.01,-14.8,5.82
Husavik,90,IS,1579454064,77,66.04,-17.34,42.8,43.62
Awjilah,66,LY,1579454065,56,29.11,21.29,58.32,8.03
San Matias,95,BO,1579454065,52,-16.37,-58.4,91.62,6.93
Nikki,0,BJ,1579454065,16,9.94,3.21,83.46,4.52
Carnot,75,CF,1579454065,22,4.94,15.87,81.1,5.99
Wanning,27,CN,1579454065,84,18.8,110.4,68.32,6.26
Tarazona,44,ES,1579454065,52,41.9,-1.73,43.0,24.16
Yatou,0,CN,1579454065,50,37.15,122.38,34.25,11.39
Westport,1,US,1579453989,52,41.14,-73.36,45.0,10.29
Caramay,1,PH,1579454066,89,10.18,119.24,73.54,5.79
Cherskiy,100,RU,1579454066,98,68.75,161.3,-21.91,5.88
Nuevo Progreso,100,MX,1579454066,89,23.17,-97.95,64.99,10.0
Ilo,12,PE,1579454066,88,-17.64,-71.34,72.05,0.76
Turukhansk,100,RU,1579454066,98,65.82,87.98,-16.37,1.03
Hithadhoo,10,MV,1579454066,75,-0.6,73.08,83.16,8.39
Dhali,20,IN,1579454066,65,10.5,77.17,77.0,4.7
Lodja,97,CD,1579454066,80,-3.48,23.43,72.61,1.21
Ilulissat,100,GL,1579454067,85,69.22,-51.1,12.2,16.11
Naco,1,MX,1579454067,39,31.33,-109.95,59.0,4.7
Verkhoyansk,95,RU,1579454067,85,67.54,133.38,-23.91,2.71
Malazgirt,88,TR,1579454067,95,39.14,42.54,16.34,2.1
Ketchikan,90,US,1579454067,93,55.34,-131.65,42.8,23.04
Egvekinot,96,RU,1579454067,95,66.32,-179.17,-14.46,11.92
Christchurch,99,NZ,1579453773,93,-43.53,172.63,59.0,2.24
Mokhotlong,82,LS,1579454067,80,-29.29,29.07,51.12,7.36
Kazlu Ruda,90,LT,1579454068,80,54.77,23.5,39.2,6.93
Mwense,65,ZM,1579454068,96,-10.38,28.7,67.55,5.46
Airai,68,TL,1579454068,83,-8.93,125.41,67.35,5.32
Khotiv,90,UA,1579454028,92,50.33,30.47,30.2,4.47
Ascension,1,US,1579454068,27,30.22,-90.9,54.0,12.75
Jauja,100,PE,1579454068,60,-11.78,-75.5,54.19,6.85
Kiunga,99,PG,1579454068,99,-6.12,141.29,72.12,1.92
Sakakah,20,SA,1579454068,43,29.97,40.21,55.4,4.7
Assiut,0,EG,1579454069,44,27.18,31.18,59.0,13.87
Mogzon,7,RU,1579454069,94,51.74,111.96,-13.09,5.28
Bulgan,41,MN,1579454069,63,48.81,103.53,-1.48,5.06
Qasigiannguit,100,GL,1579454069,85,68.82,-51.19,12.2,16.11
Bassar,7,TG,1579454069,14,9.25,0.78,87.8,6.93
Inta,100,RU,1579454069,95,66.03,60.17,2.07,16.15
Rovaniemi,20,FI,1579454069,92,66.5,25.72,17.6,5.82
Sabang,22,ID,1579454069,79,5.89,95.32,82.81,13.04
Nioro,24,GM,1579454070,6,13.35,-15.75,96.94,6.91
Tete,40,MZ,1579454070,74,-16.16,33.59,84.2,4.7
Matara,82,LK,1579454070,90,5.95,80.54,75.4,7.38
Maceio,75,BR,1579453904,62,-9.67,-35.74,84.2,12.75
Amlapura,20,ID,1579454070,83,-8.45,115.62,82.4,6.93
Rio Grande,20,BR,1579454070,62,-32.03,-52.1,86.0,9.17
Marfino,90,RU,1579454070,92,55.7,37.38,34.0,11.18
Kurumkan,94,RU,1579454070,89,54.3,110.3,-10.5,2.37
